sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	targetLifestageId	targetLifestageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
EOL:46559127	Lutra canadensis	http://purl.obolibrary.org/obo/RO_0002470	eats	EOL:328025	Castor canadensis		young	GEONAMES:4971068	Maine					https://catalog.hathitrust.org/Record/001496609	Seton, E.T. (1929) Lives of Game Animals. Doubleday, Doran & Co., Garden City N.Y., Volume II Part II . Page 680
EOL:46559127	Lutra canadensis	http://purl.obolibrary.org/obo/RO_0002470	eats	EOL:14265	Cambarus			GEONAMES:5037779	Minnesota					https://catalog.hathitrust.org/Record/001496609	Seton, E.T. (1929) Lives of Game Animals. Doubleday, Doran & Co., Garden City N.Y., Volume II Part II . Page 680
